,stock,from,to,from_w,to_w,cash,price
2016-05-23 14:13:41,SZ300051,0.0,1.3347,0.0,19.0,3.88384508,18.0
2016-05-23 11:07:48,SZ300084,0.80054319,0.0,11.35,0.0,5.21850962,11.82
2016-05-23 10:15:52,SH601198,0.0,0.7053,0.0,10.0,4.41864313,22.95
2016-05-20 14:38:25,SZ300084,0.0,0.7728,0.0,11.0,5.12396157,11.42
2016-05-20 10:54:28,SH600007,0.36564164,0.0,5.27,0.0,5.89675982,18.45
2016-05-20 09:30:24,SZ002590,1.05040062,0.0,14.64,0.0,4.40525103,24.48
2016-05-19 14:50:26,SH600016,1.73797955,1.1287,24.5,16.0,3.38038825,9.0
2016-05-19 14:03:22,SZ002048,0.06541825,0.0,0.92,0.0,2.78069062,18.84
2016-05-19 13:54:34,SH600007,1.05743132,0.3717,15.82,5.25,2.35879196,18.5
2016-05-19 10:30:45,SZ002590,0.0,1.0504,0.0,15.0,1.61068508,25.09
2016-05-19 09:37:40,SH600007,0.68825833,1.0471,10.02,15.0,2.6610857,17.3
2016-05-18 14:24:04,SH600016,0.0,1.7361,0.0,25.0,3.29147534,9.04
2016-05-18 13:56:37,SH600007,0.0,0.6955,0.0,10.0,5.02753447,17.2
2016-05-18 09:40:12,SZ300294,0.0,1.1856,0.0,17.0,5.72307168,54.4
2016-05-17 14:37:49,SZ002048,1.60717154,0.0698,22.87,1.0,6.90863753,20.14
2016-05-17 14:22:38,SH600073,1.32015535,0.0,19.0,0.0,5.38234495,12.31
2016-05-17 10:53:17,SZ002386,0.56225113,0.0,8.16,0.0,4.05463969,7.09
2016-05-17 10:01:14,SZ002386,1.05973333,0.5623,14.11,8.0,3.48515962,7.0
2016-05-17 09:30:05,SZ002386,1.88490168,1.0597,25.68,15.0,3.05568169,7.48
2016-05-16 14:36:24,SZ002048,0.0,1.6317,0.0,23.0,2.30086359,20.59
2016-05-16 13:55:48,SH600073,0.0,1.277,0.0,18.0,3.93260235,11.84
2016-05-16 13:16:11,SZ002577,1.069158,0.0,15.23,0.0,4.49396686,44.82
2016-05-13 14:56:25,SH601601,1.14514568,0.0,16.18,0.0,3.41323475,26.6
2016-05-13 14:55:24,SZ000061,0.0,0.7076,0.0,10.0,2.26765841,13.26
2016-05-13 14:37:43,SZ002577,0.0,1.06,0.0,15.0,2.97530191,43.96
2016-05-13 13:08:00,SZ000715,0.49515742,0.0,6.89,0.0,4.03529708,14.18
2016-05-13 10:30:11,SZ000715,0.98347749,0.4952,14.54,7.0,3.54804293,14.41
2016-05-12 14:32:09,SZ000715,0.0,0.9835,0.0,14.0,3.01475981,13.78
2016-05-12 09:56:20,SH601601,0.0,1.1206,0.0,16.0,3.9982373,26.02
2016-05-10 14:36:06,SZ002596,0.70037337,0.0,10.0,0.0,5.11883491,28.8
2016-05-09 14:51:08,SZ002596,0.0,0.7004,0.0,10.0,4.41846154,28.8
2016-05-09 13:14:04,SH601601,1.95337771,0.0,27.93,0.0,5.11883491,25.98
2016-05-09 10:26:42,SZ000715,0.73243049,0.0,10.02,0.0,3.16244505,14.85
2016-05-06 14:55:34,SZ000715,2.01136167,0.7324,27.18,10.38,2.46072939,15.5
2016-05-06 11:11:15,SZ000715,1.26901024,2.0114,17.3,28.0,1.27581019,16.26
2016-05-06 11:04:19,SH601601,0.0,1.5165,0.0,21.0,2.55088109,26.92
2016-05-06 09:57:09,SZ300054,0.9316886,0.0,12.93,0.0,4.06734472,21.05
2016-05-05 11:12:27,SH600189,1.91628425,0.0,26.38,0.0,3.13120891,11.92
2016-05-04 13:28:10,SZ300054,0.0,0.9477,0.0,13.0,1.22928483,21.31
2016-05-04 10:15:40,SZ002341,1.22949745,0.0,17.36,0.0,2.17698336,18.4
2016-05-03 14:58:37,SH600189,1.45999946,1.9642,20.17,27.0,0.91102068,12.31
2016-05-03 14:36:20,SZ300069,1.09379149,0.0,15.07,0.0,1.40802166,29.58
2016-05-03 14:25:57,SH600189,0.0,1.4517,0.0,20.0,0.31237817,12.18
2016-05-03 13:27:18,SZ002341,0.0,1.2233,0.0,17.0,1.76403478,17.78
2016-05-03 11:03:01,SZ002059,0.67088682,0.0,9.58,0.0,2.98734002,10.17
2016-05-03 10:51:05,SZ300356,1.20347788,0.0,17.67,0.0,2.29954577,47.5
2016-05-03 10:17:20,SZ300200,0.99509436,0.0,14.23,0.0,1.03650557,14.7
2016-05-03 10:01:59,SZ000715,0.0,1.1972,0.0,17.0,0.02907533,15.66
2016-04-29 14:28:44,SZ300200,0.0,0.9848,0.0,14.0,1.22622595,14.37
2016-04-29 14:14:18,SZ300069,0.0,1.0538,0.0,15.0,2.21104041,28.45
2016-04-29 13:25:43,SZ002539,1.45860903,0.0,20.48,0.0,3.26482869,16.58
2016-04-29 10:08:06,SZ300356,0.0,1.1963,0.0,17.0,1.82703215,44.99
2016-04-29 09:57:02,SZ300307,1.05032144,0.0,14.92,0.0,3.02333064,15.99
2016-04-29 09:56:47,SZ002553,1.07746741,0.0,15.4,0.0,1.97366566,12.81
2016-04-29 09:31:19,SZ002539,1.38759755,1.4074,20.12,20.22,0.89027811,16.23
